Название;Цена
Блок питания 600W Chieftec Element ATX 80+ Bronze [ELP-600S];31 990 ₸
ПК корпус Gigabyte AORUS C300 GLASS MidTower, window, Black ATX (GB-AC300G);71 190 ₸
Видеокарта Palit RTX 3060 DUAL OC LHR 12GB 192bit/G6 (HDMI+3DP)(NE63060T19K9-190AD LHR);186 990 ₸
Кейс FSP CST360W MidTower, window, White mATX (CST360W);30 590 ₸
Кулер для CPU PCCooler RT400 ARGB Black [RT400 ARGB BK];10 590 ₸
Оперативная память DDR4 DIMM 16GB(8GBx2)/3600MHz Kingston Fury Beast White RGB (KF436C17BWAK2/16);37 000 ₸
Внутренний SSD M.2 2280 500GB Kingston FURY Renegade PCIe 4.0 x4 NVMe with HeatSink [SFYRSK/500G];40 390 ₸
Кулер для кейса ARCTIC P12 PWM PST A-RGB White [ACFAN00254A];10 590 ₸
ПК корпус Jonsbo U6 MidTower, window, Silver ATX (U6 Silver);45 990 ₸
Кулер для кейса 2E Gaming Air Cool Infinity (2E-ACF120IW-ARGB);2 890 ₸
ПК корпус 2E Gaming CONTEGO NEO LargeMidTower, window, Black EATX (2E-GW05);35 990 ₸
ПК корпус 2E Gaming INFINITY MidTower, window, Black ATX (2E-G205A);26 990 ₸
Блок питания 1000W Asus ROG THOR EVA ATX 80+ Platinum 8x6+2pin, 2x4+4pin(ROG-THOR-1000P2-EVA-GAMING);249 990 ₸
Оперативная память DDR4 DIMM 16GB(2x8)/3200Mhz PC4-25600 Corsair Vengeance RGB PRO;30 590 ₸
Радиатор системы жидкостного охлаждения Bykski CR-RD240RC-TK-V2 (толщина 40мм);35 190 ₸
Кулер для кейса ID-COOLING ZF-14025-ARGB;4 990 ₸
ПК корпус 2Е Gaming VIRTUS NEO White MidTower, window, White ATX (2E-G3301NW);30 990 ₸
Кулер для кейса Lian Li UNI FAN SL V2 3in1 White + контроллер (G99.12SLV23W.00);49 990 ₸
Радиатор системы жидкостного охлаждения Bykski CR-RD360RC-TN-V2-WH-DZ;29 590 ₸
ПК корпус Sharkoon PURE STEEL RGB MidTower, window, Black, EATX (PURE STEEL RGB Black);45 990 ₸
Двойная муфта-удлинитель Bykski B-DTJ-MI (для адаптации фитинга с внутр резьбой к фитингу с внеш.);890 ₸
ПК корпус Jonsbo MOD5 MidTower, window, Black ATX (MOD5 Black);229 990 ₸
Оперативная память DDR5 SODIMM 8GB/5200MHz Kingston (KVR52S42BS6-8);17 490 ₸
Материнская плата ASRock H610M-HDV/M.2 R2.0 LGA1700 2DDR4 PCI-E 4x16 1x1 (HDMI+DP+VGA) mATX;40 490 ₸
Блок питания 550W FSP HV PRO ATX 80+ Standard [FSP550-51AAC];23 290 ₸
Акриловая трубка Bykski B-YKL16WP-50 16/12mm 0.5m;490 ₸
Материнская плата Asus PRIME Z790-P WIFI LGA1700 4DDR5 PCI-E 4x16 1x1 (HDMI+DP) ATX;117 990 ₸
ПК корпус Jonsplus BO 102 Triangle, window, Silver mITX (BO 102 Silver);169 990 ₸
ПК корпус FSP CMT380W ARGB MidTower, window, White ATX [CMT380W (ARGB)];36 990 ₸
Блок питания 800W FSP Hydro PRO ATX 80+ Bronze [HP2-800];42 990 ₸
