name,price
Внешний накопитель SSD TRANSCEND 1TB TS1TESD265C,67 390 ₸
"Колонки MICROLAB B51(USB), Чёрный",5 790 ₸
Коврик для мышки CANYON CNE CMP2,2 190 ₸
Игровая гарнитура A4Tech Bloody G200,9 990 ₸
Игровая гарнитура A4Tech Bloody G220,10 990 ₸
Накопитель KINGSTON DTX/128GB,5 890 ₸
Клавиатура CANYON CNS-HKBW05-RU,7 490 ₸
Клавиатура X Game XK-100UB черный,1 990 ₸
Игровая гарнитура HYPERX 683L9AA Cloud Stinger 2 Core,26 990 ₸
"Клавиатура KINGSTON HyperX Alloy Origins Core PBT HX Red TKL, черный",60 990 ₸
Мышка LOGITECH B170 Wireless Mouse - BLACK,5 490 ₸
"Мышка игровая LOGITECH G PRO X SUPERLIGHT 2 LIGHTSPEED, WHITE",94 990 ₸
"Клавиатура BLOODY B865, NeonLed",31 290 ₸
Клавиатура BLOODY S98-Navy,34 990 ₸
Мышка игровая LOGITECH G309 LIGHTSPEED - WHITE,42 490 ₸
Внешний накопитель HDD 2.5 TRANSCEND H3 2 TB (TS2TSJ25H3P),60 690 ₸
Внешний накопитель HDD 2.5 TRANSCEND H3 2 TB (TS2TSJ25H3B),60 690 ₸
"Рюкзак для ноутбука QAZAQ TOURISTER QT-001, 15.6""",13 990 ₸
Мышка игровая LOGITECH G PRO 2 LIGHTSPEED - BLACK,79 990 ₸
Клавиатура LOGITECH G915 X LIGHTSPEED Wireless Gaming Keyboard - BLACK,111 490 ₸
Игровая гарнитура LOGITECH G435 (Blue),52 990 ₸
Гарнитура для ПК Edifier K800USB,7 490 ₸
Мышка игровая LOGITECH G502 X PLUS LIGHTSPEED RGB Wireless Gaming Mouse - BLACK/PREMIUM - EER2,75 990 ₸
Мышка игровая ZOWIE ZA11-C 9H.N3FBB.A2E,42 990 ₸
Мышка игровая LOGITECH G PRO 2 LIGHTSPEED - BLACK,79 990 ₸
Клавиатура LOGITECH G915 X LIGHTSPEED Wireless Gaming Keyboard - BLACK,111 490 ₸
Внешний накопитель HDD 2.5 TRANSCEND H3 2 TB (TS2TSJ25H3B),60 690 ₸
Мышка игровая ZOWIE ZA11-C 9H.N3FBB.A2E,42 990 ₸
Игровая гарнитура LOGITECH G435 (Blue),52 990 ₸
Гарнитура для ПК Edifier K800USB,7 490 ₸
"Рюкзак для ноутбука QAZAQ TOURISTER QT-001, 15.6""",13 990 ₸
"Мышка LENOVO 150, чёрная",2 890 ₸
"Мышка LENOVO 300 Wireless compact, арктический серый",4 090 ₸
Внутренний накопитель SSD KINGSTON 480Gb (SA400S37A/480G),24 990 ₸
Гарнитура для ПК LENOVO 100 Stereo Headphones (GXD1E71386),8 390 ₸
Внутренний накопитель SSD TRANSCEND 500GB (TS500GSSD225S),27 490 ₸
Стабилизатор SVC WL-1000,13 990 ₸
Внутренний накопитель SSD TRANSCEND 500GB (TS500GMTS825S) M2,27 990 ₸
Внешний накопитель HDD 2.5 TRANSCEND A3 1 TB (TS1TSJ25A3K),44 990 ₸
"UPS SVC UPS, SVC, V-1200-L-LCD, , USB, Мощность 1200ВА/720Вт, Диапазон работы AVR: 165-275В, Бат.: 12В/7 Ач*2шт., 3 вых.: Shuko CEE7 , Чёрный",51 990 ₸
Внешний накопитель HDD 2.5 TRANSCEND H3 4 TB (TS4TSJ25H3P),92 590 ₸
Мышка LENOVO 300 USB,2 290 ₸
Карта памяти TRANSCEND MicroSD 128GB (TS128GUSD300S) U3,9 790 ₸
Внутренний накопитель SSD NETAC 128Gb (N600S-128G),12 990 ₸
"Мышка CANYON MW-21, бордово красный",4 490 ₸
"Рюкзак для ноутбука LENOVO Legion 16”, GB700",29 890 ₸
Карта памяти KINGSTON 128Gb SDCS2/128GB (SD адаптер),7 990 ₸
UPS SVC SVC V-650-L-LCD,27 990 ₸
Мышка X Game XM-770OUB черный,990 ₸
Накопитель KINGSTON DTXON/64GB,3 690 ₸
Мышка игровая ZOWIE ZA13-C 9H.N3HBB.A2E,42 990 ₸
